Nome Autor,ABNT Longo,ABNT sem ponto,ABNT com ponto
Antonio Magalhaes Gomes Filho,"GOMES FILHO, Antonio Magalhaes ","GOMES FILHO, A M ","GOMES FILHO, A. M. "
Antonio Rigolin,"RIGOLIN, Antonio ","RIGOLIN, A ","RIGOLIN, A. "
Araken de Assis,"ASSIS, Araken de ","ASSIS, A ","ASSIS, A. "
Arlete Ines Aurelli,"AURELLI, Arlete Ines ","AURELLI, A I ","AURELLI, A. I. "
Arnaldo Rizzardo,"RIZZARDO, Arnaldo ","RIZZARDO, A ","RIZZARDO, A. "
Arruda Alvim,"ALVIM, Arruda ","ALVIM, A ","ALVIM, A. "
Artur Thompsen Carpes,"CARPES, Artur Thompsen ","CARPES, A T ","CARPES, A. T. "
Augusto Neves Dal Pozzo,"POZZO, Augusto Neves Dal ","POZZO, A N D ","POZZO, A. N. D. "
Bernardo de Azevedo e Souza,"SOUZA, Bernardo de Azevedo e ","SOUZA, B A ","SOUZA, B. A. "
Betina Trieger Grupenmacher,"GRUPENMACHER, Betina Trieger ","GRUPENMACHER, B T ","GRUPENMACHER, B. T. "
Bianca Mollicone,"MOLLICONE, Bianca ","MOLLICONE, B ","MOLLICONE, B. "
Bruno Barata,"BARATA, Bruno ","BARATA, B ","BARATA, B. "
Bruno Feigelson,"FEIGELSON, Bruno ","FEIGELSON, B ","FEIGELSON, B. "
Bruno Grego-Santos,"GREGO-SANTOS, Bruno ","GREGO-SANTOS, B ","GREGO-SANTOS, B. "
Bruno Meneses Lorenzetto,"LORENZETTO, Bruno Meneses ","LORENZETTO, B M ","LORENZETTO, B. M. "
Bruno Miragem,"MIRAGEM, Bruno ","MIRAGEM, B ","MIRAGEM, B. "
Bruno Oliveira Maggi,"MAGGI, Bruno Oliveira ","MAGGI, B O ","MAGGI, B. O. "
Bruno Pedro Bom,"BOM, Bruno Pedro ","BOM, B P ","BOM, B. P. "
Bruno Vinicius da Ros Bodart,"BODART, Bruno Vinicius da Ros ","BODART, B V R ","BODART, B. V. R. "
Caio Cesar de Oliveira,"OLIVEIRA, Caio Cesar de ","OLIVEIRA, C C ","OLIVEIRA, C. C. "
Caitlin Mulholland,"MULHOLLAND, Caitlin ","MULHOLLAND, C ","MULHOLLAND, C. "
Caleb Matheus Ribeiro de Miranda,"MIRANDA, Caleb Matheus Ribeiro de ","MIRANDA, C M R ","MIRANDA, C. M. R. "
Calil Simao,"SIMAO, Calil ","SIMAO, C ","SIMAO, C. "
Camila Campos Vergueiro,"VERGUEIRO, Camila Campos ","VERGUEIRO, C C ","VERGUEIRO, C. C. "
Carla Watanabe,"WATANABE, Carla ","WATANABE, C ","WATANABE, C. "
Carlos Affonso Souza,"SOUZA, Carlos Affonso ","SOUZA, C A ","SOUZA, C. A. "
Carlos Ari Sundfeld,"SUNDFELD, Carlos Ari ","SUNDFELD, C A ","SUNDFELD, C. A. "
Carlos Eduardo Dieder Reverbel,"REVERBEL, Carlos Eduardo Dieder ","REVERBEL, C E D ","REVERBEL, C. E. D. "
Carlos Eduardo Rangel Xavier,"XAVIER, Carlos Eduardo Rangel ","XAVIER, C E R ","XAVIER, C. E. R. "
